path,kind,bytes,sha256,direct_workflow_count,direct_workflows,provenance,technical
assets/comfyui-input/MiniMax_H3_edge.mp4,video,2082245,346143fda33d8b2ed50337abfe18209dac92a96171ad51ce0b85f348fc4f092e,1,30-MiniMax_H3_00046_.api.json,FFmpeg edge-motion carrier derived from a project H3 video,video=h264 864x480 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
assets/comfyui-input/monitor-operator-character-sheet.png,image,9946007,e2b9a212d15aa99647321efce81e59e545b83aebb8e2c7be365a056dedc567e7,7,02-ALPHA-T1_00033_.api.json;06-ALPHA-T1_00060_.api.json;07-ALPHA-T1_00079_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 3840x2160 fps=25/1
assets/comfyui-input/monitor-operator-s07-anchor-v1.wav,audio,201678,7084192837571708e2811fb6615b4e5824232c6e3163190e7b90236ea95d6e6e,1,17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json,Voice anchor extracted from a project H3 native-audio take,audio=pcm_s16le 48000Hz ch=1; duration=2.100s
assets/comfyui-input/music-s02.wav,audio,1200172,f2b1855335bf53193f53444e7e4188a63b3834375a35dab9153914a2294bdd5f,2,14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json;27-Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=6.250s
assets/comfyui-input/music-s06.wav,audio,1440172,82ef4f6eca37eed94e4b6bdf61bda24f30418704e7c1a71f41a3345317523265,1,16-Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=7.500s
assets/comfyui-input/music-s08.wav,audio,1248172,8613e90ea882a6587d645cecdcae4b11bb58b14414d583f914fd94620f252040,1,18-Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=6.500s
assets/comfyui-input/music-s09.wav,audio,1056172,e3cef660dd7dfad70ca8fcbbca50dce4a6495f797a3929f04a4c69b894d1b509,2,07-ALPHA-T1_00079_.api.json;19-Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=5.500s
assets/comfyui-input/music-s10a.wav,audio,1440172,92c6d228811088d7a818f024e09ca93f0602b4a12a2d6d605f35ffee184f755c,2,20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=7.500s
assets/comfyui-input/music-s11.wav,audio,816172,3fda264056ce14a9e036d25b175f3915165d719fbc9d976dbec63fb59e8239b0,2,24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.api.json;25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=4.250s
assets/comfyui-input/music-s12-full-build.wav,audio,1440172,dd897f078fd2c567c7e0cb6ea954c1c2f09829e454c01adbb6d2350ce9456630,2,06-ALPHA-T1_00060_.api.json;26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=7.500s
